Better Item,Worse Item,Date
0x0d05c,0x0003c,1597888630.633433
0x07093,0x0d02c,1597981337.5940428
0x0700b,0x070c3,1597981341.8736482
0x0d027,0x07087,1597981346.058255
0x070c6,0x00016,1597981352.0578516
0x07058,0x0d025,1597981705.3774025
0x07030,0x07085,1597981712.7218688
0x00010,0x00024,1597981714.9044917
0x00049,0x07078,1597981720.281757
0x0700e,0x07072,1597981743.7610552
0x07090,0x0004a,1597981802.0007472
0x07030,0x07087,1597981805.8100424
0x0705a,0x07005,1597981809.321533
0x0704c,0x070a1,1597981812.9934237
0x07009,0x0d026,1597981821.2331007
0x0d05d,0x00017,1597981824.5529547
0x07039,0x0d048,1597981876.6252773
0x0705a,0x07090,1597981879.0087135
0x00037,0x0d026,1597981893.1774385
0x00048,0x0d01a,1597981895.5687582
0x00049,0x00033,1597981901.6816025
0x07001,0x0d045,1597981908.8571718
0x0d03d,0x0700a,1597981929.2017808
0x0705f,0x0d028,1597981934.240845
0x00021,0x07050,1597981938.4415097
0x07061,0x0d022,1597981948.6013494
0x0d02a,0x07073,1597981952.7531755
0x0d025,0x0d00d,1597981965.193201
0x0700e,0x0d00c,1597981974.4975755
0x0700c,0x0702f,1597981981.1444104
0x0000d,0x07008,1597981984.593383
0x00027,0x0d01b,1597981997.625337
0x0700f,0x07091,1597982014.6808326
0x00038,0x0709a,1597982021.9852724
0x07032,0x0707c,1597982026.161334
0x07002,0x07025,1597982030.9367328
0x07013,0x070ac,1597982035.6179821
0x0705e,0x00015,1597982041.3614242
0x0d050,0x0d035,1597982046.0563834
0x0706f,0x070ae,1597982051.4249933
0x0d019,0x00033,1597982097.0414708
0x0d058,0x07039,1597982102.7129495
0x0000f,0x070ab,1597982105.3297133
0x070be,0x0000e,1597982274.5707104
0x0705b,0x0702f,1597982277.6812172
0x0d029,0x070ca,1597982279.9294994
0x07051,0x07021,1597982286.6333184
0x07053,0x0001f,1597982303.0177617
0x07065,0x0000c,1597982372.14393
0x0d02b,0x0d05e,1597982379.2810233
0x07068,0x070bd,1597982382.5767274
0x0700e,0x070c2,1597982394.0496495
0x0705f,0x0704f,1597982400.3283765
0x0703a,0x07027,1597982514.1041536
0x0700c,0x07047,1597982530.408964
0x0d045,0x0708e,1597982715.4807072
0x0001b,0x07034,1597982723.7771962
0x07051,0x0d036,1597982729.5928588
0x0701c,0x07041,1597982735.9603205
0x0701a,0x0d013,1597982748.2165923
0x0000f,0x07034,1598050277.9441605
0x07038,0x0d008,1598050304.799979
0x0703f,0x0001e,1598050309.1367047
0x00025,0x0000f,1598050348.7937343
0x07051,0x07063,1598050359.5048528
0x0708f,0x07077,1598050369.9372754
0x070bc,0x070c4,1598050373.217521
0x00027,0x070c9,1598050376.096834
0x07045,0x07062,1598050389.6566584
0x070b7,0x07087,1598050408.8556716
0x07048,0x070a3,1598050433.408622
0x00030,0x0d018,1598050437.12876
0x0d00e,0x0d03f,1598050443.5849564
0x070a6,0x00043,1598050600.7916775
0x0706e,0x0d05b,1598050608.8164508
0x0d051,0x070bd,1598050617.0725145
0x0709e,0x0d007,1598050650.97569
0x07090,0x0003d,1598050661.6964343
0x070b1,0x00031,1598050900.1684184
0x070a4,0x07075,1598050910.1914823
0x0001b,0x0705a,1598050913.1828957
0x07003,0x0d030,1598050926.8720684
0x07009,0x07023,1598050969.5918105
0x00020,0x00016,1598050977.0155294
0x070b8,0x07057,1598051071.8474908
0x070ab,0x00016,1598051075.0479088
0x0d003,0x0d052,1598051086.047893
0x070ab,0x070c5,1598051092.6806087
0x070a9,0x00012,1598051096.7360759
0x07062,0x0002c,1598051101.9919024
0x070c1,0x0001f,1598051131.4241803
0x0d050,0x07072,1598051135.607202
0x07082,0x0d048,1598051149.5199764
0x070c2,0x07085,1598051309.1756103
0x0d054,0x070c8,1598051326.2471397
0x07089,0x0004a,1598051400.8153887
0x0d028,0x070cc,1598051408.639372
0x0702f,0x0d03b,1598051415.1844723
0x0001b,0x07088,1598051506.703923
0x0706e,0x00024,1598051510.1521776
0x0d016,0x070a2,1598051515.55108
0x0706f,0x0d04a,1598051659.9514701
0x0704a,0x0704e,1598051674.8394392
0x0704a,0x00023,1598051677.1513376
0x0d058,0x070c6,1598051682.2795005
0x00013,0x0d020,1598051717.3913913
0x07060,0x00026,1598118100.780965
0x03016,0x070be,1598118111.6132143
0x07074,0x07079,1598118131.2449396
0x00004,0x00024,1598118136.5169027
0x07067,0x07051,1598118149.5501366
0x070bc,0x070ca,1598118153.317718
0x0001a,0x0d042,1598118161.9173942
0x03014,0x00033,1598118188.3495154
0x070af,0x07004,1598118192.1900444
0x0d012,0x0d009,1598118195.7567055
0x0d001,0x07029,1598118288.5089498
0x07033,0x07026,1598118300.4615068
0x00047,0x070a2,1598118306.6206162
0x0d02e,0x03043,1598118311.3576488
0x07084,0x07035,1598118314.828693
0x07066,0x0001c,1598118317.2534916
0x0d007,0x070a1,1598118322.3887503
0x03051,0x07063,1598118330.2377172
