Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x08001,Taylor Swift (Album),A 2006 album by Taylor Swift.,Taylor Swift,Music,Album
0x08002,Fearless (Album),A 2008 album by Taylor Swift.,Taylor Swift,Music,Album
0x08003,Speak Now (Album),A 2010 album by Taylor Swift.,Taylor Swift,Music,Album
0x08004,Red (Album),A 2012 album by Taylor Swift.,Taylor Swift,Music,Album
0x08005,1989 (Album),A 2014 album by Taylor Swift.,Taylor Swift,Music,Album
0x08006,reputation (Album),A 2017 album by Taylor Swift.,Taylor Swift,Music,Album
0x08007,Lover (Album),A 2019 album by Taylor Swift.,Taylor Swift,Music,Album
0x08008,folklore (Album),A 2020 album by Taylor Swift.,Taylor Swift,Music,Album
0x08009,Tim McGraw,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800a,Picture to Burn,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800b,Teardrops on My Guitar,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800c,A Place in This World,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800d,Cold as You,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800e,The Outside,A song by Taylor Swift,Taylor Swift,Music,Song
0x0800f,Tied Together with a Smile,A song by Taylor Swift,Taylor Swift,Music,Song
0x08010,Stay Beautiful,A song by Taylor Swift,Taylor Swift,Music,Song
0x08011,Should’ve Said No,A song by Taylor Swift,Taylor Swift,Music,Song
0x08012,Mary’s Song (Oh My My My),A song by Taylor Swift,Taylor Swift,Music,Song
0x08013,Our Song,A song by Taylor Swift,Taylor Swift,Music,Song
0x08014,I’m Only Me When I’m with You,A song by Taylor Swift,Taylor Swift,Music,Song
0x08015,Invisible,A song by Taylor Swift,Taylor Swift,Music,Song
0x08016,A Perfectly Good Heart,A song by Taylor Swift,Taylor Swift,Music,Song
0x08017,Fearless,A song by Taylor Swift,Taylor Swift,Music,Song
0x08018,Fifteen,A song by Taylor Swift,Taylor Swift,Music,Song
0x08019,Love Story,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801a,Hey Stephen,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801b,White Horse,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801c,You Belong with Me,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801d,Breathe,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801e,Tell Me Why,A song by Taylor Swift,Taylor Swift,Music,Song
0x0801f,You’re Not Sorry,A song by Taylor Swift,Taylor Swift,Music,Song
0x08020,The Way I Loved You,A song by Taylor Swift,Taylor Swift,Music,Song
0x08021,Forever & Always,A song by Taylor Swift,Taylor Swift,Music,Song
0x08022,The Best Day,A song by Taylor Swift,Taylor Swift,Music,Song
0x08023,Change,A song by Taylor Swift,Taylor Swift,Music,Song
0x08024,Beautiful Eyes,A song by Taylor Swift,Taylor Swift,Music,Song
0x08025,Umbrella,A song by Taylor Swift,Taylor Swift,Music,Song
0x08026,Jump Then Fall,A song by Taylor Swift,Taylor Swift,Music,Song
0x08027,Untouchable,A song by Taylor Swift,Taylor Swift,Music,Song
0x08028,Come in with the Rain,A song by Taylor Swift,Taylor Swift,Music,Song
0x08029,Superstar,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802a,The Other Side of the Door,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802b,Mine,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802c,Sparks Fly,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802d,Back to December,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802e,Speak Now,A song by Taylor Swift,Taylor Swift,Music,Song
0x0802f,Dear John,A song by Taylor Swift,Taylor Swift,Music,Song
0x08030,Mean,A song by Taylor Swift,Taylor Swift,Music,Song
0x08031,The Story of Us,A song by Taylor Swift,Taylor Swift,Music,Song
0x08032,Never Grow Up,A song by Taylor Swift,Taylor Swift,Music,Song
0x08033,Enchanted,A song by Taylor Swift,Taylor Swift,Music,Song
0x08034,Better than Revenge,A song by Taylor Swift,Taylor Swift,Music,Song
0x08035,Innocent,A song by Taylor Swift,Taylor Swift,Music,Song
0x08036,Haunted,A song by Taylor Swift,Taylor Swift,Music,Song
0x08037,Last Kiss,A song by Taylor Swift,Taylor Swift,Music,Song
0x08038,Long Live,A song by Taylor Swift,Taylor Swift,Music,Song
0x08039,Ours,A song by Taylor Swift,Taylor Swift,Music,Song
0x0803a,If This Was a Movie,A song by Taylor Swift,Taylor Swift,Music,Song
0x0803b,State of Grace,A song by Taylor Swift,Taylor Swift,Music,Song
0x0803c,Red,A song by Taylor Swift,Taylor Swift,Music,Song
